EmployeeID,FullName,Skill,Rating
E0001,Christine Haas,Technical,2.5
E0002,Erik Nelson,Technical,3
E0003,Kevin Jackson,Technical,1
E0004,Andrew Butler,Technical,5
E0005,Kimberly Turner,Technical,5
E0006,Jeffrey Novak,Technical,1
E0007,Ashley Estrada,Technical,3.5
E0008,Kevin Cook,Technical,3.5
E0009,Paul Sweeney,Technical,4
E0010,Andrew Williams,Technical,4
E0011,Daniel Carter,Technical,3.5
E0012,Deborah Zimmerman,Technical,3
E0013,Jason Phillips,Technical,5
E0014,Brian Wade Jr.,Technical,2
E0015,Nicole Riggs,Technical,3.5
E0016,Kayla Mcfarland,Technical,4.5
E0017,Amber Coleman,Technical,2.5
E0018,Mrs. Gina Lee,Technical,2
E0019,Terri Johnston,Technical,2
E0020,Steve Black,Technical,2
E0021,Samuel Petersen,Technical,3.5
E0022,Jennifer Delgado,Technical,1.5
E0023,Michael Holmes,Technical,2
E0024,Lawrence Allen,Technical,4
E0025,Kevin Hughes,Technical,1.5
E0026,Craig Carter,Technical,4
E0027,Mary Swanson,Technical,4
E0028,Erin Kennedy,Technical,1.5
E0029,Christopher Parker MD,Technical,2
E0030,Laura Jackson,Technical,5
E0031,Charles Jensen,Technical,5
E0032,Melody Campbell,Technical,3
E0033,Dr. Steven Robles,Technical,3.5
E0034,Eric Barker,Technical,3
E0035,Donald Cruz,Technical,4
E0036,Amy Carroll,Technical,2.5
E0037,Jacqueline Harris,Technical,2.5
E0038,John Pena,Technical,1.5
E0039,Isaac Benitez,Technical,5
E0040,James Bridges,Technical,4.5
E0041,Amy Gilbert,Technical,4
E0042,Patricia Valentine,Technical,4.5
E0043,Austin Johnson,Technical,4.5
E0044,Chris Conner,Technical,5
E0045,David Wu,Technical,1.5
E0046,Sarah James,Technical,3
E0047,Shannon Torres,Technical,4
E0048,Vanessa Dickson,Technical,3.5
E0049,Nathan Williams,Technical,5
E0050,Craig Schwartz,Technical,4
E0051,Michelle Graham,Technical,2.5
E0052,Kathleen Sanders,Technical,5
E0053,Robert Gentry,Technical,4
E0054,Lori Newman,Technical,4
E0055,Troy Ingram,Technical,4.5
E0056,Ryan King,Technical,2
E0057,Charles Moody,Technical,1
E0058,Kevin Fowler,Technical,4.5
